nutrition_id,food_name,serving_size,serving_unit,calories,protein,carbs,sugars,source,created_at,updated_at
32a0c64a-78b0-4cb1-850c-b61f49966a0f,Test3,342,kjfdasfasjkhkj2332423432dfsadf,213,2423,2312,123,scan,2025-11-27 07:24:55.223502+00,2025-11-27 07:24:55.223502+00
71cad380-7321-4188-8859-19243f19ede8,e,null,3242342eee,0,12312314,0,0,scan,2025-11-27 07:26:23.289702+00,2025-11-27 07:26:23.289702+00
2efebbf8-7535-4fb5-a85a-52e54ee4616c,sandwhich,null,null,60,0,17,17,scan,2025-11-30 06:29:58.042043+00,2025-11-30 06:29:58.042043+00
6dda1dc0-2e81-421e-b258-98c5e3c15cd0,burger,234,43,60,0,17,17,scan,2025-11-30 06:31:37.631375+00,2025-11-30 06:31:37.631375+00
02da092b-aa2b-4c37-88a6-25c8de19c212,mac,234,34,60,0,17,17,scan,2025-11-30 07:03:21.351047+00,2025-11-30 07:03:21.351047+00
27bd2efb-ce75-4d69-ae0f-a0d87d77535e,mac,234,34,60,0,17,17,scan,2025-11-30 07:13:47.724565+00,2025-11-30 07:13:47.724565+00
6539ec30-f47b-45c6-a61d-faa0234111e0,mac,234,34,60,0,17,17,scan,2025-11-30 07:14:11.732746+00,2025-11-30 07:14:11.732746+00
ca778b9b-f0c2-462c-b5cf-8cd71bfd6e04,bana,45,45,60,0,17,17,scan,2025-11-30 07:22:53.685571+00,2025-11-30 07:22:53.685571+00
e13aab0d-a5cb-48d8-92aa-4335a85610d8,bana,45,45,60,0,17,17,scan,2025-11-30 07:23:13.66296+00,2025-11-30 07:23:13.66296+00
06d4d88f-13c1-46d0-abb8-475e789084cc,mc2,null,df,60,0,17,17,scan,2025-11-30 07:33:28.141191+00,2025-11-30 07:33:28.141191+00
3fd26407-44ad-41ca-b2e5-ec32b7573327,f1,13,34,60,0,17,17,scan,2025-12-04 06:26:03.538994+00,2025-12-04 06:26:03.538994+00
ace9de7c-b199-48b4-8110-b12789c80801,f2,34,523,453,0,325,17,scan,2025-12-04 06:27:09.933666+00,2025-12-04 06:27:09.933666+00
acb134eb-7dcb-4956-81bd-b723d9a4a34a,f3,3,4,54,0,17,17,scan,2025-12-04 06:34:13.290872+00,2025-12-04 06:34:13.290872+00
5d1d69d3-55a4-47fa-bec9-21e7b868b933,f4,23,42,60,0,17,17,scan,2025-12-04 06:53:05.759328+00,2025-12-04 06:53:05.759328+00
4f86b7c9-6d7f-4d4e-a52e-de65a8dec774,f12,34,5,60,0,17,17,scan,2025-12-04 07:07:17.119367+00,2025-12-04 07:07:17.119367+00
3b891a4a-3872-46d3-a6f3-7366ddb9151c,f,3,3,60,0,17,17,scan,2025-12-04 07:52:39.642246+00,2025-12-04 07:52:39.642246+00
2b864d61-aa0e-4dac-943a-c80355b9866b,asd,34,43,60,0,17,17,scan,2025-12-04 08:06:01.568078+00,2025-12-04 08:06:01.568078+00
4d9260fe-6a5b-4f80-a749-9f7ca1ee57a6,apple,1,g,1,1,1,1,scan,2025-12-04 13:17:18.948724+00,2025-12-04 13:17:18.948724+00
13b1a26b-8f28-48fa-b6b4-cb7474eea0fe,orange,1,g,1,1,1,1,scan,2025-12-04 13:18:25.443386+00,2025-12-04 13:18:25.443386+00
743f98d1-3260-43f5-bf94-5d582f3ff2ec,wha,1,g,1,1,1,1,scan,2025-12-04 13:26:38.649114+00,2025-12-04 13:26:38.649114+00
281b75bc-df37-46a2-8a06-c7d81aa50e11,sfad,2,g,1,1,1,1,manual,2025-12-04 21:27:26.939771+00,2025-12-04 21:27:26.939771+00
36c2821d-ff96-4fb8-a06b-90f46f7319b8,ere,1,g,1,2,1,1,manual,2025-12-04 13:28:05.447266+00,2025-12-04 13:28:05.447266+00
b5f01c28-b130-4882-bc25-c35eaa6cf618,da,1,g,1,1,1,4,manual,2025-12-04 13:27:00.898457+00,2025-12-04 13:27:00.898457+00
63c98816-f724-456c-955d-bf0c87d7a4b5,ab,1,g,1,1,1,1,manual,2025-12-04 13:20:46.21037+00,2025-12-04 13:20:46.21037+00
92a3b97f-3cca-4600-928d-60d1f15ee6b4,slop,212,g,260,8,39.8,2.1,manual,2025-12-05 02:50:45.219992+00,2025-12-05 02:50:45.219992+00
43a9279c-d848-49ea-95f7-2f7616ec0441,mmmm more yummy slop,212,g,257,8,39.8,2.1,scan,2025-12-05 02:51:26.411727+00,2025-12-05 02:51:26.411727+00
16f5376a-b333-454b-98d3-1efd55b62ab0,Canned Tomatoes,1,1 tbsp,60,0,17,17,scan,2025-12-05 14:29:02.461628+00,2025-12-05 14:29:02.461628+00
5d102803-91dc-44fe-92ba-3be6d288380b,G2,12,43,60,0,17,17,manual,2025-12-04 07:19:49.103343+00,2025-12-04 07:19:49.103343+00
cf94f7cc-e47c-4392-a920-fc8a723bd0b9,Granola,1,g,10,1,5,2,manual,2025-12-05 20:16:15.867404+00,2025-12-05 20:16:15.867404+00
106a73b7-0f9f-4c12-bda0-82580a250200,Banana,1,tbsp,60,0,17,17,scan,2025-12-06 03:00:19.730073+00,2025-12-06 03:00:19.730073+00
d6b2c6bb-d681-4e30-a1e7-b413dd560081,Pork,1,g,200,6,2,1,manual,2025-12-06 03:00:55.087609+00,2025-12-06 03:00:55.087609+00
76a96bc3-a8f0-4bd1-8eec-8ff26e9dd72e,Broccoli,1,g,60,0,17,17,scan,2025-12-06 03:21:56.932865+00,2025-12-06 03:21:56.932865+00
f707a957-897b-44f9-83b1-6f8638af34fb,Oatmeal,1,cup,100,1,6,5,manual,2025-12-06 03:22:36.420401+00,2025-12-06 03:22:36.420401+00
1ca2c772-4c60-490e-b3e2-0c526378b565,Grapes,1,g,100,4,3,4,manual,2025-12-06 03:28:29.237903+00,2025-12-06 03:28:29.237903+00
1b2e8691-b1c7-4876-b7a0-9bf42ae2f3e8,Potatoe,1,g,51,0,17,17,manual,2025-12-06 03:27:49.759312+00,2025-12-06 03:27:49.759312+00
8cab27ed-f203-4aa3-9904-a81a98357f23,Tomato,1,g,60,0,17,17,scan,2025-12-06 03:32:29.953275+00,2025-12-06 03:32:29.953275+00
612a1825-2f42-4846-bb49-2a6eb45b0077,Beef,1,g,200,6,2,2,manual,2025-12-06 03:33:03.108443+00,2025-12-06 03:33:03.108443+00
